date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-08-03,2344,華邦電,IC設計,半導體,False,25984,-95,491,49,323,143.0,10.0,77515
2026-08-03,3231,緯創,伺服器,科技硬體,False,13991,9288,663,992,1677,186.0,5.68,162427
2026-08-03,2408,南亞科,其他,其他,False,12888,-101,542,112,496,396.5,9.99,58799
2026-08-03,2356,英業達,EMS,電子製造,False,12570,-207,168,238,729,63.9,3.4,33847
2026-08-03,2324,仁寶,EMS,電子製造,False,9901,1061,176,377,367,36.35,0.97,44224
2026-08-03,2891,中信金,金控,金融,False,11095,-1206,589,310,1474,64.8,-0.15,40197
2026-08-03,2312,金寶,電腦品牌,電子製造,False,8621,0,138,198,617,31.75,5.83,24054
2026-08-03,2317,鴻海,電子製造,電子製造,False,10136,213,1214,859,-364,253.0,1.0,52666
2026-08-03,2618,長榮航,航空,航運,False,13613,-3476,264,1336,-809,43.7,0.92,40295
2026-08-03,0056,元大高股息,其他,其他,True,9309,300,13,4989,-1969,49.82,0.69,38149
2026-08-03,2610,華航,航空,航運,False,10116,-2009,378,321,-283,22.45,0.22,29518
2026-08-03,2337,旺宏,記憶體,半導體,False,7554,-182,416,505,-54,110.5,9.95,52907
2026-08-03,1605,華新,電線電纜,電機傳產,False,6366,17,260,132,682,32.8,4.29,24071
2026-08-03,3711,日月光投控,封測,半導體,False,5452,382,447,318,349,610.0,9.91,16977
2026-08-03,2332,友訊,其他,其他,False,5707,0,178,13,0,22.2,4.47,48686
2026-08-03,3042,晶技,其他,其他,False,5167,-138,116,119,402,154.5,3.34,19961
2026-08-03,8422,可寧衛*,環保,綠能,False,4737,6,70,15,83,26.8,8.28,11910
2026-08-03,1216,統一,食品,傳統產業,False,6102,-1567,218,70,140,73.0,-1.08,16576
2026-08-03,4938,和碩,EMS,電子製造,False,4112,188,135,76,177,86.6,2.61,12895
2026-08-03,4904,遠傳,電信,電信,False,5037,-621,111,9,28,103.5,-1.43,10570
2026-08-03,2006,東和鋼鐵,鋼鐵,金屬原料,False,4442,-232,42,44,8,80.4,7.77,7923
2026-08-03,4763,材料*-KY,其他,其他,False,3939,-1,78,22,305,49.85,3.32,10299
2026-08-03,6226,光鼎,其他,其他,False,3724,-2,15,0,0,21.55,9.95,14078
2026-08-03,2027,大成鋼,特殊鋼,金屬原料,False,8185,-5243,143,96,830,44.45,2.89,20852
2026-08-03,2313,華通,PCB,PCB,False,3962,19,671,187,109,185.5,9.76,22355
2026-08-03,9105,泰金寶-DR,其他,其他,False,3639,0,0,2,105,8.27,1.85,21762
2026-08-03,2603,長榮,貨櫃航運,航運,False,4139,-496,88,43,42,207.5,1.72,7963
2026-08-03,2327,國巨*,被動元件,半導體,False,3675,-42,176,198,-3,552.0,9.96,22438
2026-08-03,3706,神達,電腦周邊,電子製造,False,3393,-8,141,32,145,89.5,2.4,8655
2026-08-03,3035,智原,其他,其他,False,3172,0,171,60,90,160.0,7.02,9453
2026-08-03,2359,所羅門,其他,其他,False,2973,0,5,27,130,132.5,9.5,7749
2026-08-03,6116,彩晶,其他,其他,False,3113,0,177,51,125,12.5,0.4,20094
2026-08-03,9904,寶成,其他,其他,False,3367,-94,117,78,-60,24.3,1.46,14853
2026-08-03,2376,技嘉,主機板,科技硬體,False,4572,-234,1563,110,73,324.5,0.0,10891
2026-08-03,2890,永豐金,金控,金融,False,2710,-94,428,157,694,40.05,-1.35,26559
2026-08-03,6202,盛群,其他,其他,False,2953,0,7,26,26,58.7,9.93,7476
2026-08-03,2812,台中銀,其他,其他,False,-1445,3904,388,14,621,20.65,0.73,34583
2026-08-03,5388,中磊,其他,其他,False,2749,-2,36,11,61,87.4,6.2,5776
2026-08-03,2867,三商壽,其他,其他,False,4023,0,2016,0,0,9.82,-0.81,20302
2026-08-03,2615,萬海,貨櫃航運,航運,False,2740,-3,108,36,53,86.1,1.65,6654
2026-08-03,6919,康霈*,其他,其他,False,2712,0,69,52,13,109.5,6.31,7516
2026-08-03,6282,康舒,封測,半導體,False,1898,338,323,61,193,44.65,5.31,17033
2026-08-03,6505,台塑化,石化,石化原料,False,3027,24,537,362,-238,67.7,-4.38,30573
2026-08-03,2388,威盛,其他,其他,False,2182,0,109,8,122,75.9,7.66,6315
2026-08-03,3006,晶豪科,IC設計,半導體,False,2188,0,66,6,279,198.0,10.0,7128
2026-08-03,3037,欣興,PCB,PCB,False,1785,763,485,339,80,865.0,9.91,22551
2026-08-03,8112,至上,通路,通路,False,2458,-4,398,421,270,81.4,1.37,16169
2026-08-03,2883,凱基金,金控,金融,True,-8512,10520,571,438,885,30.4,-1.46,58529
2026-08-03,8039,台虹,其他,其他,False,2356,0,493,40,18,190.5,9.8,18356
2026-08-03,2426,鼎元,其他,其他,False,2060,0,19,2,6,55.3,9.94,8272
2026-08-03,2371,大同,電機,電機傳產,False,2522,-527,84,54,174,25.25,3.91,8257
2026-08-03,6206,飛捷,其他,其他,False,2040,-4,16,33,54,133.5,6.8,4603
2026-08-03,2352,佳世達,其他,其他,False,2117,0,60,29,-12,28.45,4.02,5345
2026-08-03,6209,今國光,其他,其他,False,1886,0,55,99,112,69.8,9.92,5821
2026-08-03,2369,菱生,封測,半導體,False,2044,0,197,13,164,32.0,8.84,12348
2026-08-03,1717,長興,化工,石化原料,False,1417,307,53,45,268,61.7,3.01,7666
2026-08-03,4989,榮科,其他,其他,False,696,0,123,5,1337,61.1,9.89,8081
2026-08-03,9933,中鼎,其他,其他,False,1884,2,71,0,0,36.0,2.13,3807
2026-08-03,6166,凌華,其他,其他,False,1800,0,43,7,8,124.0,9.73,6286
