date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-09-04,2324,仁寶,EMS,電子製造,False,69366,-21,359,600,1470,41.6,7.35,141506
2026-09-04,2317,鴻海,電子製造,電子製造,False,26407,1155,282,75,547,256.0,3.43,49402
2026-09-04,3231,緯創,伺服器,科技硬體,False,23925,3389,1242,530,92,198.0,5.04,82904
2026-09-04,2303,聯電,IC設計,半導體,False,26550,1577,1554,943,-44,130.0,4.0,142867
2026-09-04,0050,元大台灣50,其他,其他,True,12906,0,253,1675,8009,107.9,1.6,46705
2026-09-04,2327,國巨*,被動元件,半導體,False,18525,-48,211,112,195,562.0,9.98,57702
2026-09-04,2886,兆豐金,金控,金融,False,13042,3457,416,344,-294,49.55,-1.69,31950
2026-09-04,2892,第一金,金控,金融,False,14323,1307,0,37,23,37.3,1.22,30570
2026-09-04,2353,宏碁,電腦品牌,電子製造,False,14303,192,14,119,360,32.7,4.64,40071
2026-09-04,2356,英業達,EMS,電子製造,False,13444,282,7,44,359,67.5,3.85,27074
2026-09-04,2377,微星,其他,其他,False,10951,1518,39,159,476,161.5,7.31,23321
2026-09-04,2382,廣達,伺服器,科技硬體,False,12836,242,87,56,-27,345.0,2.99,20571
2026-09-04,2884,玉山金,金控,金融,False,8186,5238,454,658,-528,43.55,0.81,61355
2026-09-04,0056,元大高股息,其他,其他,True,10531,0,729,303,2585,55.4,1.65,22979
2026-09-04,2426,鼎元,其他,其他,False,11198,0,23,129,70,104.5,10.0,62192
2026-09-04,2492,華新科,被動元件,半導體,False,10242,-2,68,410,173,298.5,9.94,27375
2026-09-04,2883,凱基金,金控,金融,True,10007,442,0,426,-151,36.7,2.23,42802
2026-09-04,4938,和碩,EMS,電子製造,False,9303,25,16,61,198,95.4,5.53,18644
2026-09-04,3714,富采,其他,其他,False,9578,0,268,43,0,66.8,8.62,35248
2026-09-04,2885,元大金,金控,金融,False,7943,1036,190,177,-21,69.8,1.9,20306
2026-09-04,5880,合庫金,金控,金融,False,7784,-73,2,2,78,26.65,-0.19,21410
2026-09-04,2891,中信金,金控,金融,False,5083,2060,136,378,-288,68.4,1.33,29198
2026-09-04,2889,國票金,金控,金融,False,6722,0,0,0,0,16.6,0.91,20648
2026-09-04,0052,富邦科技,其他,其他,False,3411,0,17,1122,2483,62.7,1.79,10899
2026-09-04,2312,金寶,電腦品牌,電子製造,False,5308,0,142,135,219,32.85,3.3,11344
2026-09-04,2301,光寶科,EMS,電子製造,False,4774,512,122,127,15,308.0,3.01,27528
2026-09-04,3090,日電貿,其他,其他,False,4896,82,20,102,30,176.5,8.62,12141
2026-09-04,2388,威盛,其他,其他,False,4346,0,157,82,83,81.4,8.53,14272
2026-09-04,6271,同欣電,其他,其他,False,4342,123,43,189,77,237.0,9.98,15374
2026-09-04,2313,華通,PCB,PCB,False,3876,45,451,334,280,249.5,5.72,51923
2026-09-04,2352,佳世達,其他,其他,False,3795,417,2,107,5,29.25,2.63,7864
2026-09-04,2347,聯強,封測,半導體,False,3537,374,3,29,12,88.0,1.85,5869
2026-09-04,2880,華南金,金控,金融,False,3976,-25,0,238,-160,44.0,1.27,12694
2026-09-04,2881,富邦金,金控,金融,False,3294,-36,220,142,-29,150.5,2.38,19146
2026-09-04,3094,聯傑,其他,其他,False,2835,0,1,0,0,46.5,9.93,17920
2026-09-04,5876,上海商銀,金控,金融,False,1968,727,3,54,-52,46.3,0.76,7546
2026-09-04,2357,華碩,電腦品牌,電子製造,False,2385,104,230,116,175,1025.0,5.56,5102
2026-09-04,2002,中鋼,鋼鐵,金屬原料,False,2116,314,0,52,-47,19.1,0.53,14449
2026-09-04,3045,台灣大,電信,電信,False,2166,375,93,49,-45,118.0,0.0,5076
2026-09-04,2478,大毅,其他,其他,False,2389,0,3,4,12,125.5,9.61,5868
2026-09-04,2882,國泰金,金控,金融,False,2098,2,118,218,-60,115.0,2.22,17419
2026-09-04,3022,威強電,其他,其他,False,2030,0,1,14,16,95.9,9.98,4749
2026-09-04,1718,中纖,其他,其他,False,1983,0,8,33,-33,10.6,-0.93,17782
2026-09-04,2330,台積電,晶圓代工,半導體,False,1885,-328,40,69,271,2410.0,0.84,14102
2026-09-04,2385,群光,其他,其他,False,1843,22,0,16,75,110.5,2.79,3413
2026-09-04,4906,正文,其他,其他,False,1880,0,9,17,36,36.9,3.94,5952
2026-09-04,2308,台達電,電源管理,科技硬體,False,1406,365,36,225,24,1825.0,3.69,9195
2026-09-04,2412,中華電,電信,電信,False,1584,167,0,0,0,137.5,-0.36,7383
2026-09-04,1216,統一,食品,傳統產業,False,1856,-42,0,46,-34,75.6,0.0,6727
2026-09-04,2887,台新新光金,金控,金融,False,-653,2957,52,744,-579,41.5,0.12,47708
2026-09-04,2337,旺宏,記憶體,半導體,False,2750,-1008,80,167,37,121.5,3.85,29768
2026-09-04,8046,南電,IC設計,半導體,False,2022,-408,365,367,95,1055.0,-2.31,18619
2026-09-04,2376,技嘉,主機板,科技硬體,False,1823,-558,11,29,205,361.0,3.0,7465
2026-09-04,2354,鴻準,其他,其他,False,1358,-7,8,65,142,65.6,2.98,12470
2026-09-04,3026,禾伸堂,其他,其他,False,1429,98,91,114,19,701.0,9.87,7288
2026-09-04,2034,允強,其他,其他,False,1395,0,0,6,-1,21.1,2.18,3109
2026-09-04,1709,和益,其他,其他,False,1389,0,15,0,0,34.0,1.64,8132
2026-09-04,2395,研華,工業電腦,科技硬體,False,945,340,25,15,89,711.0,5.49,5020
2026-09-04,6834,天二科技,其他,其他,False,1364,0,0,8,11,94.0,7.8,4355
2026-09-04,2362,藍天,其他,其他,False,1370,0,3,5,0,49.3,4.34,2070
2026-09-04,2049,上銀,其他,其他,False,1090,139,20,76,108,363.0,5.37,4629
2026-09-04,4763,材料*-KY,其他,其他,False,800,189,0,7,190,50.3,2.44,4973
2026-09-04,4956,光鋐,其他,其他,False,1200,0,3,3,0,37.65,8.19,5271
2026-09-04,2428,興勤,其他,其他,False,1078,0,1,4,26,260.0,6.34,2467
2026-09-04,4904,遠傳,電信,電信,False,917,174,4,28,-24,104.0,0.48,3337
2026-09-04,6285,啟碁,網通,科技硬體,False,1148,-213,50,16,83,243.5,4.28,3374
2026-09-04,2472,立隆電,其他,其他,False,936,-1,0,31,61,225.0,8.7,3532
2026-09-04,2454,聯發科,IC設計,半導體,False,534,349,36,140,26,4415.0,1.73,9051
2026-09-04,3591,艾笛森,其他,其他,False,958,0,20,0,0,24.9,9.69,5265
2026-09-04,3017,奇鋐,散熱,科技硬體,False,448,462,30,158,18,3570.0,8.18,4515
2026-09-04,1810,和成,其他,其他,False,933,0,6,0,0,24.25,1.04,2477
2026-09-04,2890,永豐金,金控,金融,False,-1641,2641,4,178,-158,42.85,0.59,19136
2026-09-04,8926,台汽電,其他,其他,False,857,44,0,6,0,57.5,1.59,1959
2026-09-04,3005,神基,其他,其他,False,828,25,14,27,13,115.0,1.77,2162
2026-09-04,2515,中工,其他,其他,False,850,0,0,0,0,12.15,1.67,2645
2026-09-04,1504,東元,電機,電機傳產,False,886,92,24,152,-121,72.2,1.69,4919
2026-09-04,6166,凌華,其他,其他,False,834,0,20,9,20,121.5,6.58,2903
2026-09-04,4919,新唐,其他,其他,False,769,0,4,16,44,120.0,4.35,1945
2026-09-04,3380,明泰,其他,其他,False,777,-4,13,4,2,30.0,3.45,2949
2026-09-04,6153,嘉聯益,其他,其他,False,805,0,10,0,0,17.65,2.62,2238
2026-09-04,2369,菱生,封測,半導體,False,827,0,7,27,-12,31.05,2.14,2779
2026-09-04,3189,景碩,PCB,PCB,False,732,-55,144,197,31,819.0,5.68,19778
2026-09-04,2530,華建,其他,其他,False,718,94,139,0,0,20.15,3.07,1303
2026-09-04,2511,太子,其他,其他,False,744,0,0,0,0,8.43,1.08,1490
2026-09-04,4967,十銓,其他,其他,False,740,21,0,25,-15,276.0,1.28,2395
2026-09-04,2367,燿華,PCB,PCB,False,634,0,50,24,79,43.1,1.89,3650
2026-09-04,3702,大聯大,其他,其他,False,610,119,0,70,-17,104.0,1.96,5376
2026-09-04,2634,漢翔,其他,其他,False,880,-6,160,49,-9,65.0,0.93,9832
2026-09-04,6224,聚鼎,其他,其他,False,693,0,0,0,0,84.8,6.53,3448
2026-09-04,6177,達麗,其他,其他,False,578,108,19,0,0,49.2,0.92,3109
2026-09-04,2413,環科,其他,其他,False,675,0,5,8,3,45.8,9.96,4428
2026-09-04,2401,凌陽,其他,其他,False,609,0,30,13,47,25.7,3.42,2130
2026-09-04,6443,元晶,太陽能,綠能,False,652,0,9,0,0,24.95,1.63,3099
2026-09-04,1319,東陽,其他,其他,False,683,-6,41,11,0,82.6,1.47,1654
2026-09-04,1711,永光,化工,石化原料,False,580,0,3,100,60,42.3,1.81,3891
2026-09-04,3049,精金,其他,其他,False,636,0,0,3,-3,12.8,0.0,6300
2026-09-04,9945,潤泰新,其他,其他,False,646,0,1,54,-43,28.45,0.71,3851
2026-09-04,8070,長華*,其他,其他,False,537,72,0,6,-4,50.5,2.64,1640
2026-09-04,6449,鈺邦,其他,其他,False,572,0,0,6,25,237.5,9.7,1582
2026-09-04,9910,豐泰,其他,其他,False,527,58,0,0,4,68.9,1.77,801
2026-09-04,3704,合勤控,其他,其他,False,581,0,1,0,0,40.1,0.25,2882
2026-09-04,6282,康舒,封測,半導體,False,529,56,67,60,11,44.0,1.85,4546
2026-09-04,1503,士電,其他,其他,False,547,17,2,15,22,207.5,3.23,1280
2026-09-04,3532,台勝科,其他,其他,False,555,12,20,57,2,399.0,4.72,6836
2026-09-04,1402,遠東新,紡織,傳統產業,False,-90,659,12,71,-24,29.15,0.17,5541
2026-09-04,3149,正達,其他,其他,False,761,0,181,31,0,60.6,1.85,6260
2026-09-04,6005,群益證,其他,其他,False,579,-6,0,0,0,32.75,1.24,4226
2026-09-04,3605,宏致,其他,其他,False,284,0,227,95,-22,118.0,3.06,12601
2026-09-04,2363,矽統,其他,其他,False,532,0,0,13,0,51.1,2.0,1964
2026-09-04,2329,華泰,IC設計,半導體,False,502,0,2,17,19,42.9,1.54,1438
2026-09-04,1513,中興電,其他,其他,False,406,-17,8,21,-6,165.5,1.85,1475
2026-09-04,6176,瑞儀,其他,其他,False,477,0,3,5,6,91.9,1.77,1541
2026-09-04,2302,麗正,其他,其他,False,466,0,0,1,-1,43.1,1.77,3020
2026-09-04,2332,友訊,其他,其他,False,539,0,180,18,0,19.55,4.83,20151
2026-09-04,5607,遠雄港,其他,其他,False,445,-1,5,0,0,56.8,-0.7,1778
2026-09-04,2331,精英,其他,其他,False,481,0,47,1,4,19.6,1.82,1404
2026-09-04,2610,華航,航空,航運,False,390,257,0,258,-237,20.45,-0.49,13363
2026-09-04,8261,富鼎,其他,其他,False,480,0,0,71,-38,180.5,4.34,3505
2026-09-04,6209,今國光,其他,其他,False,508,0,2,139,-65,81.5,0.49,10548
2026-09-04,4912,聯德控股-KY,其他,其他,False,439,0,0,0,0,102.0,0.49,1168
2026-09-04,6206,飛捷,其他,其他,False,430,-1,1,23,3,138.5,2.97,978
2026-09-04,6414,樺漢,其他,其他,False,396,-1,4,6,17,395.0,3.67,1386
2026-09-04,2359,所羅門,其他,其他,False,438,0,0,33,-19,142.0,1.07,2839
2026-09-04,2425,承啟,其他,其他,False,415,0,1,0,0,37.9,4.26,969
2026-09-04,3029,零壹,其他,其他,False,403,-1,5,0,6,111.5,2.29,624
2026-09-04,4976,佳凌,其他,其他,False,406,0,0,4,0,38.3,1.59,2910
2026-09-04,2542,興富發,其他,其他,False,-2882,3334,0,65,-64,48.55,-0.21,6938
2026-09-04,3048,益登,其他,其他,False,401,0,0,10,-7,53.4,1.91,1031
2026-09-04,2340,台亞,其他,其他,False,428,0,28,56,-46,34.05,2.56,2360
2026-09-04,2455,全新,IC設計,半導體,False,1267,-67,813,353,-237,528.0,0.57,24125
2026-09-04,6202,盛群,其他,其他,False,395,0,0,6,-1,58.8,3.16,1009
2026-09-04,1218,泰山,其他,其他,False,383,0,0,0,0,14.45,0.7,757
2026-09-04,3167,大量,其他,其他,False,311,-1,26,22,-19,803.0,10.0,4823
2026-09-04,1514,亞力,其他,其他,False,370,24,0,17,-13,102.0,1.49,1169
2026-09-04,1609,大亞,其他,其他,False,365,-3,0,6,4,37.35,0.95,2202
2026-09-04,2105,正新,汽車,汽車,False,232,92,5,28,30,30.95,0.81,2051
2026-09-04,9958,世紀鋼,其他,其他,False,362,-2,0,1,-1,88.1,-0.34,1659
2026-09-04,1519,華城,其他,其他,False,282,1,5,9,37,746.0,3.32,1702
2026-09-04,3023,信邦,其他,其他,False,255,80,7,15,18,340.0,4.62,1659
2026-09-04,6672,騰輝電子-KY,其他,其他,False,266,0,1,159,66,289.0,9.89,5927
2026-09-04,3504,揚明光,其他,其他,False,338,0,1,5,7,89.7,2.16,3328
2026-09-04,6214,精誠,其他,其他,False,298,42,1,16,-15,185.5,1.37,1621
2026-09-04,6416,瑞祺電通,其他,其他,False,325,0,0,0,0,100.5,5.24,546
2026-09-04,2406,國碩,其他,其他,False,321,0,0,3,-2,27.25,0.74,3061
2026-09-04,2375,凱美,其他,其他,False,276,0,2,15,32,125.0,5.93,6198
2026-09-04,1476,儒鴻,其他,其他,False,294,9,3,0,1,313.0,-0.16,870
2026-09-04,1477,聚陽,其他,其他,False,237,39,0,1,9,196.5,1.29,984
2026-09-04,1727,中華化,其他,其他,False,280,0,4,13,16,94.7,6.17,5890
2026-09-04,3406,玉晶光,其他,其他,False,264,-17,48,19,21,1055.0,6.46,2626
2026-09-04,2355,敬鵬,PCB,PCB,False,308,0,15,12,-5,42.8,2.27,1236
2026-09-04,3034,聯詠,IC設計,半導體,False,226,57,7,33,-15,524.0,-0.57,2053
2026-09-04,5471,松翰,其他,其他,False,268,0,0,0,5,61.1,2.0,1394
2026-09-04,3016,嘉晶,其他,其他,False,292,0,0,80,-26,101.0,2.75,3591
2026-09-04,4770,上品,其他,其他,False,256,-1,0,2,12,226.5,4.38,882
2026-09-04,3717,聯嘉投控,其他,其他,False,255,0,0,0,0,22.3,1.13,907
2026-09-04,3661,世芯-KY,其他,其他,False,185,2,18,34,35,4220.0,4.2,1757
2026-09-04,6226,光鼎,其他,其他,False,248,0,0,0,0,33.5,4.69,4993
2026-09-04,6197,佳必琪,其他,其他,False,135,-1,39,30,107,315.0,5.35,3153
2026-09-04,3701,大眾控,其他,其他,False,236,0,2,2,4,41.95,3.71,1781
2026-09-04,6605,帝寶,其他,其他,False,235,-1,0,0,0,138.5,1.09,330
2026-09-04,2485,兆赫,其他,其他,False,251,0,25,14,-8,41.3,1.47,1944
2026-09-04,4927,泰鼎-KY,其他,其他,False,232,0,0,0,0,41.9,3.33,2401
2026-09-04,1528,恩德,其他,其他,False,231,0,0,0,0,19.15,2.41,525
2026-09-04,1210,大成,其他,其他,False,263,-6,40,0,0,52.2,0.77,926
2026-09-04,2328,廣宇,其他,其他,False,238,0,3,27,-15,46.6,1.75,1003
2026-09-04,3515,華擎,其他,其他,False,205,8,0,1,5,227.0,3.18,548
2026-09-04,2023,燁輝,其他,其他,False,161,0,0,0,0,13.85,0.36,743
2026-09-04,1809,中釉,其他,其他,False,214,0,0,7,0,37.75,1.75,1120
2026-09-04,3703,欣陸,其他,其他,False,211,-3,0,0,0,20.0,0.25,1135
2026-09-04,6191,精成科,其他,其他,False,196,9,0,6,-2,82.5,1.35,879
2026-09-04,3437,榮創,其他,其他,False,208,0,0,0,0,18.35,4.26,787
2026-09-04,6579,研揚,其他,其他,False,192,-1,0,0,16,150.5,5.61,584
2026-09-04,2457,飛宏,其他,其他,False,208,0,0,8,-4,22.75,0.89,804
2026-09-04,2617,台航,其他,其他,False,169,0,0,2,36,32.45,0.46,2542
2026-09-04,8210,勤誠,其他,其他,False,174,-6,15,3,18,986.0,4.01,923
2026-09-04,2207,和泰車,汽車,汽車,False,198,9,0,10,-10,539.0,3.45,388
2026-09-04,2421,建準,其他,其他,False,-231,65,13,45,295,178.0,8.21,8051
2026-09-04,2528,皇普,其他,其他,False,160,28,0,0,0,20.25,2.27,286
2026-09-04,6155,鈞寶,其他,其他,False,186,0,0,0,5,56.2,4.46,1342
2026-09-04,4960,誠美材,其他,其他,False,203,0,1,12,-12,21.1,1.44,1159
2026-09-04,7795,長廣,其他,其他,False,190,-1,20,0,10,505.0,3.27,1085
2026-09-04,3059,華晶科,其他,其他,False,161,40,2,14,-14,39.3,2.21,1268
2026-09-04,2534,宏盛,其他,其他,False,179,0,0,0,0,17.1,-0.29,341
2026-09-04,2474,可成,其他,其他,False,147,69,0,58,-43,209.5,1.45,2055
2026-09-04,7750,新代,其他,其他,False,159,3,2,0,9,2415.0,9.77,346
2026-09-04,3013,晟銘電,其他,其他,False,189,-2,3,12,-7,88.0,2.33,782
2026-09-04,6831,邁科,其他,其他,False,266,-98,1,7,6,605.0,3.42,1037
2026-09-04,8163,達方,其他,其他,False,164,0,0,1,4,31.5,1.29,536
2026-09-04,6962,奕力-KY,其他,其他,False,173,0,0,3,-3,31.95,0.47,1115
