date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-09-14,2834,臺企銀,其他,其他,False,22685,0,62,32,347,18.35,1.94,73515
2026-09-14,2303,聯電,IC設計,半導體,False,13698,4381,1533,782,415,142.5,1.42,132513
2026-09-14,2481,強茂,IC設計,半導體,False,16628,0,315,365,186,159.0,6.0,61139
2026-09-14,2892,第一金,金控,金融,False,11783,3923,528,275,377,39.85,2.44,37037
2026-09-14,2887,台新新光金,金控,金融,False,8494,5486,820,883,236,43.55,2.11,41755
2026-09-14,2412,中華電,電信,電信,False,11848,87,84,277,-257,142.5,1.42,18796
2026-09-14,2891,中信金,金控,金融,False,5212,3131,503,677,138,68.1,1.49,28023
2026-09-14,2889,國票金,金控,金融,False,8192,0,0,0,0,17.05,1.79,17139
2026-09-14,5880,合庫金,金控,金融,False,7776,-154,0,10,44,27.45,0.92,22723
2026-09-14,2886,兆豐金,金控,金融,False,3940,3063,571,132,267,52.5,1.55,22519
2026-09-14,6770,力積電,晶圓代工,半導體,False,7338,0,1269,1451,-191,70.7,0.0,90532
2026-09-14,2897,王道銀行,金控,金融,False,5949,-243,0,0,0,11.25,2.27,13429
2026-09-14,2845,遠東銀,其他,其他,False,1702,3825,0,0,0,13.75,0.36,13131
2026-09-14,2881,富邦金,金控,金融,False,4519,509,261,254,261,154.0,3.7,19008
2026-09-14,2353,宏碁,電腦品牌,電子製造,False,4348,341,522,78,-29,31.4,0.96,11658
2026-09-14,2883,凱基金,金控,金融,True,1017,2189,451,214,636,38.8,2.51,43390
2026-09-14,2327,國巨*,被動元件,半導體,False,3710,740,391,272,-44,545.0,0.18,22504
2026-09-14,2449,京元電子,封測,半導體,False,4106,-77,204,336,-20,261.5,-0.57,11531
2026-09-14,2885,元大金,金控,金融,False,1904,1838,50,264,68,70.8,1.14,15209
2026-09-14,2890,永豐金,金控,金融,False,-2211,5357,190,11,165,44.8,2.52,31277
2026-09-14,2855,統一證,其他,其他,False,1854,1188,0,0,0,52.9,1.93,5956
2026-09-14,5876,上海商銀,金控,金融,False,3123,-219,0,9,52,49.9,2.57,9082
2026-09-14,1718,中纖,其他,其他,False,2633,0,119,15,12,10.55,1.44,10779
2026-09-14,1314,中石化,化工,石化原料,False,2355,0,242,0,0,8.22,1.23,15174
2026-09-14,2880,華南金,金控,金融,False,2490,15,252,261,33,46.3,0.98,11333
2026-09-14,5871,中租-KY,其他,其他,False,2055,105,24,63,-15,113.5,1.79,5931
2026-09-14,1714,和桐,其他,其他,False,2296,0,184,112,-71,14.95,-2.61,13245
2026-09-14,6226,光鼎,其他,其他,False,2114,0,73,0,0,33.0,10.0,33483
2026-09-14,3034,聯詠,IC設計,半導體,False,1861,6,21,52,85,556.0,1.65,3546
2026-09-14,2312,金寶,電腦品牌,電子製造,False,1687,40,34,144,100,30.85,1.31,8796
2026-09-14,3045,台灣大,電信,電信,False,1956,-112,7,0,9,121.5,0.41,4598
2026-09-14,6168,宏齊,其他,其他,False,1668,0,0,4,0,29.95,1.7,5305
2026-09-14,2812,台中銀,其他,其他,False,1624,0,0,0,84,19.45,-0.26,16569
2026-09-14,2363,矽統,其他,其他,False,1448,0,6,15,69,51.4,1.38,3662
2026-09-14,3702,大聯大,其他,其他,False,1592,26,48,174,-83,107.0,0.47,5927
2026-09-14,3042,晶技,其他,其他,False,1872,-175,90,415,-281,178.0,1.14,6149
2026-09-14,2377,微星,其他,其他,False,1601,68,160,208,-69,150.5,1.01,7169
2026-09-14,2801,彰銀,金控,金融,False,-4173,6073,588,349,-251,28.55,2.33,54168
2026-09-14,2882,國泰金,金控,金融,False,191,826,305,420,50,112.5,1.81,18700
2026-09-14,2820,華票,其他,其他,False,1259,0,0,0,0,17.4,0.0,3224
2026-09-14,3094,聯傑,其他,其他,False,1224,0,2,0,0,44.0,7.58,7776
2026-09-14,2436,偉詮電,其他,其他,False,1127,0,33,18,107,67.9,1.19,3888
2026-09-14,1504,東元,電機,電機傳產,False,968,140,122,79,152,70.3,1.15,8281
2026-09-14,2352,佳世達,其他,其他,False,-971,2126,7,81,-76,28.75,0.17,4629
2026-09-14,4904,遠傳,電信,電信,False,1106,34,9,15,-3,106.0,0.47,2183
2026-09-14,9941,裕融,其他,其他,False,638,448,8,0,1,81.6,1.62,1560
2026-09-14,2317,鴻海,電子製造,電子製造,False,179,799,274,350,105,248.5,0.2,25260
2026-09-14,2379,瑞昱,IC設計,半導體,False,1062,4,58,85,31,713.0,1.28,2719
2026-09-14,3037,欣興,PCB,PCB,False,950,331,257,49,0,970.0,-0.72,13143
2026-09-14,3005,神基,其他,其他,False,1100,5,97,14,23,116.5,0.87,2806
2026-09-14,4919,新唐,其他,其他,False,789,0,2,20,138,113.0,0.44,3067
2026-09-14,8150,南茂,封測,半導體,False,940,0,46,118,-3,86.6,-0.12,10859
2026-09-14,8422,可寧衛*,環保,綠能,False,970,9,67,16,-16,26.1,0.19,2808
2026-09-14,2838,聯邦銀,其他,其他,False,961,0,0,80,-80,21.6,2.61,5220
2026-09-14,3035,智原,其他,其他,False,751,0,63,48,113,172.5,1.77,2897
2026-09-14,2302,麗正,其他,其他,False,871,0,8,0,0,41.6,1.46,2504
2026-09-14,2347,聯強,封測,半導體,False,658,162,17,3,39,89.6,0.67,1958
2026-09-14,2454,聯發科,IC設計,半導體,False,734,106,76,36,46,4560.0,-0.55,6122
2026-09-14,8070,長華*,其他,其他,False,860,0,10,6,-2,50.2,2.45,2255
2026-09-14,2342,茂矽,其他,其他,False,835,0,0,1,1,39.7,5.31,2550
2026-09-14,2615,萬海,貨櫃航運,航運,False,1088,-110,107,176,-89,113.0,0.89,13184
2026-09-14,6005,群益證,其他,其他,False,803,5,0,0,0,32.1,1.9,3957
2026-09-14,8046,南電,IC設計,半導體,False,782,-91,43,117,60,1055.0,-2.31,6139
2026-09-14,1528,恩德,其他,其他,False,801,0,0,23,-7,23.3,9.91,15628
2026-09-14,2489,瑞軒,其他,其他,False,324,4,256,14,192,39.3,6.5,20867
2026-09-14,2484,希華,其他,其他,False,759,0,0,3,0,67.2,0.75,3550
2026-09-14,2455,全新,IC設計,半導體,False,684,-2,36,14,55,535.0,3.88,1719
2026-09-14,2305,全友,其他,其他,False,582,0,37,35,201,45.15,9.99,33465
2026-09-14,6196,帆宣,其他,其他,False,688,7,0,3,36,520.0,1.76,1602
2026-09-14,3481,群創,面板,顯示面板,False,-78,2,1766,317,144,47.65,-0.1,108945
2026-09-14,6239,力成,封測,半導體,False,1359,-945,98,53,252,271.5,-0.55,7089
2026-09-14,6213,聯茂,PCB,PCB,False,929,13,273,73,-19,515.0,1.18,10165
2026-09-14,4961,天鈺,其他,其他,False,587,0,0,0,58,178.0,4.71,1394
2026-09-14,3605,宏致,其他,其他,False,515,0,247,50,168,126.5,3.27,8387
2026-09-14,1409,新纖,其他,其他,False,921,0,255,50,-23,24.35,-0.41,9954
2026-09-14,2301,光寶科,EMS,電子製造,False,1091,69,277,369,-284,277.5,0.18,12338
2026-09-14,1102,亞泥,水泥,傳統產業,False,958,-89,254,10,18,35.0,-0.85,5772
2026-09-14,1802,台玻,玻璃,傳統產業,False,694,60,105,239,-187,57.8,-0.69,11772
2026-09-14,2441,超豐,其他,其他,False,520,10,15,13,73,114.0,2.24,2675
2026-09-14,8261,富鼎,其他,其他,False,601,0,1,39,16,166.5,2.78,2715
2026-09-14,5285,界霖,其他,其他,False,593,0,3,0,0,87.5,6.06,1732
2026-09-14,8110,華東,其他,其他,False,590,0,4,16,-11,41.5,-1.54,2663
2026-09-14,2371,大同,電機,電機傳產,False,676,116,99,164,-117,27.65,0.73,8675
2026-09-14,2382,廣達,伺服器,科技硬體,False,300,256,107,59,-8,332.5,-1.19,8031
2026-09-14,2332,友訊,其他,其他,False,434,0,78,0,0,18.9,-0.53,6382
2026-09-14,6108,競國,其他,其他,False,540,0,0,0,0,22.15,0.0,2243
2026-09-14,3036,文曄,IC設計,半導體,False,532,12,42,22,25,192.0,0.52,3964
2026-09-14,6446,藥華藥,其他,其他,False,519,2,161,1,0,1190.0,-7.03,5500
2026-09-14,2836,高雄銀,其他,其他,False,492,0,0,0,0,12.3,0.0,2752
2026-09-14,2357,華碩,電腦品牌,電子製造,False,293,205,59,82,14,934.0,1.08,2899
2026-09-14,3090,日電貿,其他,其他,False,469,0,8,36,10,163.5,0.31,3300
2026-09-14,3673,TPK-KY,IC設計,半導體,False,334,0,35,48,10,63.4,2.76,4385
2026-09-14,2618,長榮航,航空,航運,False,1229,-525,322,125,-78,42.05,-0.71,10793
2026-09-14,2375,凱美,其他,其他,False,438,0,0,24,16,119.5,0.84,1883
2026-09-14,2368,金像電,其他,其他,False,1316,-692,67,245,-143,1020.0,-0.97,4733
2026-09-14,6962,奕力-KY,其他,其他,False,446,0,0,0,0,30.75,1.15,1099
2026-09-14,4927,泰鼎-KY,其他,其他,False,428,0,0,0,0,41.15,-0.36,1794
2026-09-14,4956,光鋐,其他,其他,False,420,0,0,0,0,33.4,4.21,1702
2026-09-14,2637,慧洋-KY,散裝航運,航運,False,-589,1026,34,11,-10,101.0,0.0,3824
2026-09-14,2515,中工,其他,其他,False,393,0,4,0,0,12.0,0.0,2318
2026-09-14,2329,華泰,IC設計,半導體,False,457,0,65,43,-7,41.75,0.36,1594
2026-09-14,2912,統一超,其他,其他,False,393,4,0,0,3,216.5,0.0,1022
2026-09-14,9958,世紀鋼,其他,其他,False,464,0,76,2,4,91.1,1.11,867
2026-09-14,3022,威強電,其他,其他,False,392,0,1,5,7,86.2,3.61,1241
2026-09-14,2385,群光,其他,其他,False,375,4,12,17,16,105.5,0.48,1337
2026-09-14,9921,巨大,其他,其他,False,428,0,37,5,0,89.7,2.4,2570
2026-09-14,3024,憶聲,其他,其他,False,391,0,0,0,0,14.7,2.08,1227
2026-09-14,6257,矽格,IC設計,半導體,False,334,9,0,63,3,210.0,-0.71,3119
2026-09-14,8021,尖點,其他,其他,False,331,0,7,0,24,442.5,5.73,836
2026-09-14,2308,台達電,電源管理,科技硬體,False,308,-78,97,215,142,1620.0,0.0,9470
2026-09-14,1308,亞聚,其他,其他,False,353,0,0,9,-9,14.15,-1.05,1282
2026-09-14,3033,威健,其他,其他,False,207,0,30,33,-31,41.4,-0.36,2824
2026-09-14,2458,義隆,其他,其他,False,308,25,29,10,2,126.5,0.0,1181
2026-09-14,6152,百一,其他,其他,False,310,0,1,0,0,15.2,1.33,1597
2026-09-14,6531,愛普*,其他,其他,False,353,-6,27,56,-24,962.0,-2.63,2627
2026-09-14,2606,裕民,散裝航運,航運,False,429,0,99,51,-49,76.2,-0.39,2841
2026-09-14,3661,世芯-KY,其他,其他,False,331,0,32,111,-6,3590.0,-1.64,2098
2026-09-14,2313,華通,PCB,PCB,False,-370,1137,301,454,-297,221.0,-0.23,13242
