date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-08-04,2301,光寶科,EMS,電子製造,False,28743,1,204,780,92,252.0,9.8,67014
2026-08-04,2408,南亞科,其他,其他,False,24800,1648,1810,272,173,436.0,9.96,119676
2026-08-04,3231,緯創,伺服器,科技硬體,False,18453,5570,1829,1193,7,195.0,4.84,153901
2026-08-04,0056,元大高股息,其他,其他,True,10936,-200,4,1571,7348,50.6,1.57,37286
2026-08-04,1216,統一,食品,傳統產業,False,17235,-1643,373,335,77,73.9,1.23,25972
2026-08-04,2324,仁寶,EMS,電子製造,False,13719,417,249,398,313,37.0,1.79,43359
2026-08-04,6770,力積電,晶圓代工,半導體,False,10945,0,1529,482,1271,60.1,9.87,186379
2026-08-04,2332,友訊,其他,其他,False,11921,0,219,110,-95,23.85,7.43,69942
2026-08-04,2409,友達,面板,顯示面板,False,10987,733,669,1475,-511,24.45,2.3,130656
2026-08-04,2885,元大金,金控,金融,False,5258,5350,424,341,-185,69.0,1.47,36549
2026-08-04,2356,英業達,EMS,電子製造,False,8852,707,212,319,360,66.0,3.29,34604
2026-08-04,2891,中信金,金控,金融,False,9427,1215,1056,545,-233,64.8,0.0,43740
2026-08-04,8112,至上,通路,通路,False,9262,0,414,187,461,85.2,4.67,17224
2026-08-04,2887,台新新光金,金控,金融,False,13478,-2052,1349,1243,-996,35.55,0.71,46044
2026-08-04,2890,永豐金,金控,金融,False,10937,-973,856,546,-537,39.6,-1.12,31750
2026-08-04,2618,長榮航,航空,航運,False,11232,-1941,305,1429,-494,43.8,0.23,49619
2026-08-04,2377,微星,其他,其他,False,7199,-304,88,170,227,149.5,4.55,19543
2026-08-04,2883,凱基金,金控,金融,True,12142,-2115,1735,1447,-1054,30.55,0.49,37259
2026-08-04,3706,神達,電腦周邊,電子製造,False,7228,-21,108,117,159,91.3,2.01,14277
2026-08-04,3006,晶豪科,IC設計,半導體,False,6182,0,88,185,134,217.5,9.85,16630
2026-08-04,1605,華新,電線電纜,電機傳產,False,5956,0,296,531,229,33.75,2.9,22515
2026-08-04,2344,華邦電,IC設計,半導體,False,4638,1308,1374,344,107,157.0,9.79,121631
2026-08-04,4938,和碩,EMS,電子製造,False,5585,61,191,119,75,88.4,2.08,15092
2026-08-04,2610,華航,航空,航運,False,5860,403,629,491,-188,22.45,0.0,35115
2026-08-04,2376,技嘉,主機板,科技硬體,False,5591,-97,1250,70,70,332.0,2.31,10157
2026-08-04,1802,台玻,玻璃,傳統產業,False,3793,0,982,155,200,52.3,9.99,40657
2026-08-04,2388,威盛,其他,其他,False,3021,0,48,28,218,80.3,5.8,8797
2026-08-04,1402,遠東新,紡織,傳統產業,False,5881,-1890,415,48,-44,27.15,0.93,13974
2026-08-04,3037,欣興,PCB,PCB,False,-2383,5933,439,791,-142,924.0,6.82,54032
2026-08-04,6282,康舒,封測,半導體,False,2632,184,513,137,220,47.9,7.28,14828
2026-08-04,2393,億光,其他,其他,False,4273,-23,2248,2,565,57.5,0.0,11557
2026-08-04,9105,泰金寶-DR,其他,其他,False,2303,0,0,0,9,8.3,0.36,13894
2026-08-04,2006,東和鋼鐵,鋼鐵,金屬原料,False,2440,-225,100,68,-34,82.5,2.61,5570
2026-08-04,2609,陽明,貨櫃航運,航運,False,2398,1,191,82,-80,51.0,0.39,10095
2026-08-04,2881,富邦金,金控,金融,False,-1301,4902,881,927,-761,128.5,-0.77,29296
2026-08-04,3714,富采,其他,其他,False,1970,0,50,7,0,53.7,6.55,6292
2026-08-04,2308,台達電,電源管理,科技硬體,False,3588,-1555,262,277,-70,1620.0,2.53,20958
2026-08-04,2323,中環,其他,其他,False,1898,0,63,0,13,10.3,1.48,5080
2026-08-04,6116,彩晶,其他,其他,False,1850,0,174,158,161,12.95,3.6,20300
2026-08-04,2312,金寶,電腦品牌,電子製造,False,1745,0,94,251,115,32.3,1.73,13600
2026-08-04,2882,國泰金,金控,金融,False,-1200,4519,852,1022,-873,99.2,-1.29,25339
2026-08-04,2486,一詮,其他,其他,False,1310,650,333,90,-32,221.0,7.02,8720
2026-08-04,8131,福懋科,其他,其他,False,1553,0,40,7,127,66.0,10.0,8432
2026-08-04,8271,宇瞻,其他,其他,False,1468,88,8,80,53,224.0,2.05,7506
2026-08-04,2313,華通,PCB,PCB,False,-5327,7088,846,535,-39,198.5,7.01,47270
2026-08-04,3034,聯詠,IC設計,半導體,False,1870,-285,56,77,51,524.0,0.96,4340
2026-08-04,1909,榮成,其他,其他,False,1660,0,115,0,0,10.1,0.5,3688
2026-08-04,2484,希華,其他,其他,False,1501,0,83,5,-4,69.9,9.91,30167
2026-08-04,2880,華南金,金控,金融,False,-5928,7874,750,635,-577,43.25,0.46,25543
2026-08-04,4958,臻鼎-KY,PCB,PCB,False,1194,27,307,280,107,444.0,5.34,35726
2026-08-04,1717,長興,化工,石化原料,False,1328,200,83,141,-56,63.6,3.08,7146
2026-08-04,6285,啟碁,網通,科技硬體,False,1275,87,61,82,64,252.5,5.65,7880
2026-08-04,2464,盟立,其他,其他,False,781,344,58,78,283,162.0,9.83,14109
2026-08-04,6213,聯茂,PCB,PCB,False,1075,108,273,164,76,310.0,7.27,21166
2026-08-04,1504,東元,電機,電機傳產,False,1528,0,129,195,-155,65.4,0.15,5515
2026-08-04,2912,統一超,其他,其他,False,1684,-393,58,9,-7,221.5,0.45,3765
2026-08-04,3042,晶技,其他,其他,False,1315,130,89,394,-274,169.5,9.71,18717
2026-08-04,1513,中興電,其他,其他,False,1303,-77,26,43,15,159.0,2.25,2773
2026-08-04,2371,大同,電機,電機傳產,False,1882,-532,126,119,-102,25.25,0.0,6337
2026-08-04,3033,威健,其他,其他,False,921,197,240,12,222,48.2,3.21,5701
2026-08-04,2305,全友,其他,其他,False,1108,2,5,0,0,32.6,2.03,7906
2026-08-04,4927,泰鼎-KY,其他,其他,False,1095,0,16,0,0,30.45,0.66,3429
2026-08-04,6120,達運,其他,其他,False,1113,0,36,0,0,13.4,4.69,2708
2026-08-04,2357,華碩,電腦品牌,電子製造,False,936,277,71,202,-102,806.0,0.88,4052
2026-08-04,2352,佳世達,其他,其他,False,1133,0,85,26,8,28.9,1.58,3723
2026-08-04,3702,大聯大,其他,其他,False,1674,-562,114,93,33,117.5,1.29,8678
2026-08-04,2451,創見,其他,其他,False,1171,-138,45,52,33,284.5,1.25,9541
2026-08-04,3149,正達,其他,其他,False,1040,0,7,20,0,65.8,-0.6,7267
