date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-09-09,3481,群創,面板,顯示面板,False,81974,-43,2735,855,2599,50.1,2.66,302977
2026-09-09,2409,友達,面板,顯示面板,False,65132,-7,2491,5902,-706,30.5,3.04,590064
2026-09-09,2303,聯電,IC設計,半導體,False,14643,5044,4871,1377,327,141.5,3.28,270644
2026-09-09,1409,新纖,其他,其他,False,17975,0,21,194,490,26.85,9.82,89005
2026-09-09,1101,台泥,水泥,傳統產業,False,17399,100,58,92,164,24.75,1.85,33714
2026-09-09,6505,台塑化,石化,石化原料,False,13247,31,366,285,1155,87.5,9.92,45847
2026-09-09,2002,中鋼,鋼鐵,金屬原料,False,12051,95,128,559,-486,19.25,0.79,33490
2026-09-09,2382,廣達,伺服器,科技硬體,False,13098,5,358,49,129,342.0,4.27,26249
2026-09-09,2834,臺企銀,其他,其他,False,13334,-43,94,6,91,17.95,1.41,59423
2026-09-09,1326,台化,石化,石化原料,False,12280,151,180,104,338,71.8,1.7,37249
2026-09-09,1301,台塑,石化,石化原料,False,12839,0,174,557,-152,66.7,2.46,26927
2026-09-09,6770,力積電,晶圓代工,半導體,False,11374,-3,972,236,342,72.4,0.0,114261
2026-09-09,8150,南茂,封測,半導體,False,10401,-4,474,124,142,91.5,1.33,38445
2026-09-09,1314,中石化,化工,石化原料,False,9275,0,43,0,0,8.21,1.23,18123
2026-09-09,3711,日月光投控,封測,半導體,False,8806,389,142,232,86,640.0,3.56,22954
2026-09-09,9105,泰金寶-DR,其他,其他,False,8950,0,0,9,131,8.89,2.42,20965
2026-09-09,2609,陽明,貨櫃航運,航運,False,7542,-5,340,460,-83,58.5,2.09,31633
2026-09-09,2353,宏碁,電腦品牌,電子製造,False,7398,97,257,156,49,31.8,2.42,14459
2026-09-09,2356,英業達,EMS,電子製造,False,6651,-323,55,244,131,64.3,0.47,15028
2026-09-09,1312,國喬,石化,石化原料,False,4647,0,31,68,591,14.65,5.4,21094
2026-09-09,2892,第一金,金控,金融,False,4065,1612,111,62,143,37.8,-0.13,30638
2026-09-09,2889,國票金,金控,金融,False,5748,0,79,0,30,16.7,0.6,14881
2026-09-09,1718,中纖,其他,其他,False,5642,-43,66,0,88,10.85,4.33,22005
2026-09-09,2412,中華電,電信,電信,False,4571,898,60,56,-26,139.5,0.36,9797
2026-09-09,3231,緯創,伺服器,科技硬體,False,6387,-1865,1304,367,470,189.0,1.34,66840
2026-09-09,6239,力成,封測,半導體,False,5010,-24,164,437,-273,281.0,2.0,12889
2026-09-09,3037,欣興,PCB,PCB,False,3790,870,182,433,-29,993.0,4.09,21332
2026-09-09,2104,國際中橡,其他,其他,False,4434,0,17,0,20,10.8,6.93,10263
2026-09-09,2049,上銀,其他,其他,False,4129,101,40,166,105,370.5,5.86,8565
2026-09-09,1102,亞泥,水泥,傳統產業,False,4294,95,279,41,-32,35.4,0.57,10648
2026-09-09,3045,台灣大,電信,電信,False,3244,905,138,44,-40,119.5,1.27,8127
2026-09-09,3006,晶豪科,IC設計,半導體,False,3512,-9,95,79,193,306.5,2.68,17234
2026-09-09,2377,微星,其他,其他,False,4610,-893,33,19,145,156.5,2.62,9979
2026-09-09,1709,和益,其他,其他,False,3804,0,6,1,0,35.6,5.95,13704
2026-09-09,2426,鼎元,其他,其他,False,3733,0,2,220,-60,99.5,2.05,56170
2026-09-09,6116,彩晶,其他,其他,False,3106,0,184,324,140,14.65,2.45,73568
2026-09-09,2618,長榮航,航空,航運,False,3359,-228,118,57,112,42.55,0.24,11564
2026-09-09,2603,長榮,貨櫃航運,航運,False,2413,248,119,39,127,234.0,2.18,8646
2026-09-09,5880,合庫金,金控,金融,False,2699,-36,119,1,152,26.85,0.0,15145
2026-09-09,2542,興富發,其他,其他,False,1376,1342,27,0,95,48.2,1.05,8134
2026-09-09,1304,台聚,其他,其他,False,2613,0,27,3,3,12.8,3.64,4243
2026-09-09,2317,鴻海,電子製造,電子製造,False,3133,-34,562,241,-133,252.0,0.2,21343
2026-09-09,1802,台玻,玻璃,傳統產業,False,2411,49,90,152,-102,60.2,0.5,11889
2026-09-09,8046,南電,IC設計,半導體,False,2669,-18,195,276,-44,1110.0,8.29,12270
2026-09-09,0050,元大台灣50,其他,其他,True,6768,0,789,5439,-4069,109.65,0.0,46101
2026-09-09,6257,矽格,IC設計,半導體,False,2051,255,10,22,22,213.0,1.91,5082
2026-09-09,3189,景碩,PCB,PCB,False,2236,106,63,119,-14,812.0,1.5,15225
2026-09-09,1605,華新,電線電纜,電機傳產,False,2366,69,40,113,-79,38.35,0.66,13885
2026-09-09,0056,元大高股息,其他,其他,True,1061,0,75,1951,1293,55.75,0.0,15853
2026-09-09,2312,金寶,電腦品牌,電子製造,False,2253,-30,15,16,27,31.8,1.6,5150
2026-09-09,6269,台郡,其他,其他,False,2028,1,67,115,13,69.3,5.32,7771
2026-09-09,2354,鴻準,其他,其他,False,2235,0,21,169,-136,64.5,0.0,6918
2026-09-09,3042,晶技,其他,其他,False,1881,0,331,159,334,184.5,7.27,20317
2026-09-09,2606,裕民,散裝航運,航運,False,1834,98,100,20,113,79.7,2.44,4709
2026-09-09,6168,宏齊,其他,其他,False,1861,0,3,2,0,29.6,3.68,5661
2026-09-09,1710,東聯,其他,其他,False,1836,0,9,24,-16,16.2,2.21,4919
2026-09-09,1609,大亞,其他,其他,False,1796,1,7,2,15,38.1,1.33,4104
2026-09-09,1313,聯成,其他,其他,False,1780,0,49,0,1,12.15,2.97,3601
2026-09-09,3532,台勝科,其他,其他,False,337,1401,49,78,5,424.0,6.53,9176
2026-09-09,6531,愛普*,其他,其他,False,1161,496,11,111,38,999.0,7.3,5337
2026-09-09,2371,大同,電機,電機傳產,False,1703,48,19,74,-74,28.05,0.9,3358
2026-09-09,2332,友訊,其他,其他,False,1637,0,26,1,0,19.15,2.13,5860
2026-09-09,1714,和桐,其他,其他,False,1471,-38,17,0,189,16.8,3.38,7543
2026-09-09,2615,萬海,貨櫃航運,航運,False,1780,-8,249,980,-362,116.0,3.57,25417
2026-09-09,1309,台達化,其他,其他,False,1473,0,4,4,16,14.2,4.41,3339
2026-09-09,3034,聯詠,IC設計,半導體,False,1490,-25,15,38,22,543.0,1.69,3739
2026-09-09,6271,同欣電,其他,其他,False,1408,0,10,23,43,226.5,1.57,4969
2026-09-09,3229,晟鈦,其他,其他,False,1413,0,3,0,0,60.7,9.96,5363
2026-09-09,1597,直得,其他,其他,False,1313,0,0,14,50,151.5,5.94,4001
2026-09-09,2637,慧洋-KY,散裝航運,航運,False,1253,-4,6,12,38,100.5,2.45,2976
2026-09-09,1310,台苯,其他,其他,False,1363,0,4,0,0,8.87,3.5,3865
2026-09-09,3049,精金,其他,其他,False,1351,0,0,0,0,12.5,0.0,5928
2026-09-09,2515,中工,其他,其他,False,1340,0,6,0,0,12.05,1.26,4028
2026-09-09,2617,台航,其他,其他,False,1334,0,4,9,0,33.4,3.25,3532
2026-09-09,2367,燿華,PCB,PCB,False,1316,0,16,28,-12,42.2,1.69,3099
2026-09-09,8996,高力,其他,其他,False,1094,242,203,0,0,1345.0,9.8,6087
2026-09-09,6278,台表科,其他,其他,False,451,840,34,11,2,193.5,2.65,2825
2026-09-09,1308,亞聚,其他,其他,False,1239,0,5,0,12,14.8,4.59,2326
2026-09-09,1305,華夏,其他,其他,False,1231,0,5,2,0,12.5,2.88,2015
2026-09-09,2379,瑞昱,IC設計,半導體,False,1245,-69,25,37,25,705.0,1.88,3051
2026-09-09,6153,嘉聯益,其他,其他,False,1182,0,11,0,0,17.85,2.59,3021
2026-09-09,3019,亞光,其他,其他,False,1042,0,8,4,70,142.5,2.89,3441
2026-09-09,4906,正文,其他,其他,False,1095,0,8,1,25,36.6,1.39,2658
2026-09-09,1229,聯華,其他,其他,False,1127,3,18,0,0,41.95,0.6,1617
2026-09-09,3005,神基,其他,其他,False,1088,21,16,13,9,115.0,2.22,2017
2026-09-09,3044,健鼎,其他,其他,False,1052,-15,31,64,88,509.0,5.17,4457
2026-09-09,1513,中興電,其他,其他,False,1106,-42,7,15,3,167.0,1.21,1788
2026-09-09,9945,潤泰新,其他,其他,False,1114,0,33,25,-14,28.2,0.53,3065
2026-09-09,2369,菱生,封測,半導體,False,1082,0,3,17,-12,30.3,0.33,3213
2026-09-09,2455,全新,IC設計,半導體,False,1147,49,146,116,-62,533.0,3.5,2499
2026-09-09,1504,東元,電機,電機傳產,False,993,53,21,9,1,70.9,0.71,3448
2026-09-09,2601,益航,其他,其他,False,1019,0,0,0,0,6.85,0.74,2232
2026-09-09,2385,群光,其他,其他,False,992,-2,6,10,12,106.5,0.95,2563
2026-09-09,4904,遠傳,電信,電信,False,29,1018,38,41,-38,104.0,0.0,4221
2026-09-09,3576,聯合再生,太陽能,綠能,False,965,0,8,0,0,16.95,0.3,5664
2026-09-09,6196,帆宣,其他,其他,False,885,2,5,41,20,534.0,6.16,3685
2026-09-09,6672,騰輝電子-KY,其他,其他,False,824,-2,1,84,43,299.5,1.87,9019
2026-09-09,3149,正達,其他,其他,False,926,0,90,2,0,62.5,3.82,4743
2026-09-09,2345,智邦,網通,科技硬體,False,1647,-849,17,38,40,2015.0,3.07,4715
2026-09-09,1608,華榮,其他,其他,False,839,-8,14,6,-3,37.0,0.95,3098
2026-09-09,6209,今國光,其他,其他,False,803,0,2,43,0,79.1,2.06,6297
2026-09-09,3504,揚明光,其他,其他,False,787,0,1,1,14,86.0,3.37,2611
2026-09-09,2352,佳世達,其他,其他,False,603,73,14,0,105,28.8,0.52,2385
2026-09-09,3380,明泰,其他,其他,False,783,1,7,5,-4,30.4,1.67,3006
2026-09-09,6213,聯茂,PCB,PCB,False,835,0,235,32,-5,523.0,2.55,14888
2026-09-09,1434,福懋,其他,其他,False,765,2,15,0,0,18.15,1.97,1378
2026-09-09,3035,智原,其他,其他,False,662,0,2,19,-2,176.5,0.86,1935
2026-09-09,2103,台橡,其他,其他,False,642,0,9,0,85,26.5,2.91,4099
2026-09-09,2360,致茂,其他,其他,False,-9,715,67,110,2,2335.0,3.09,4875
2026-09-09,2301,光寶科,EMS,電子製造,False,1655,-964,263,74,63,292.5,0.52,13639
2026-09-09,3715,定穎投控,PCB,PCB,False,411,0,24,103,276,135.0,6.72,16952
2026-09-09,3702,大聯大,其他,其他,False,2605,-807,1167,121,-76,105.0,0.48,10212
2026-09-09,1444,力麗,其他,其他,False,724,-34,6,0,0,7.04,0.72,2013
2026-09-09,6282,康舒,封測,半導體,False,592,21,11,40,12,43.7,1.04,4323
2026-09-09,1612,宏泰,其他,其他,False,712,-9,22,0,0,35.2,1.44,942
2026-09-09,6191,精成科,其他,其他,False,673,14,20,2,0,83.1,1.71,1694
2026-09-09,2355,敬鵬,PCB,PCB,False,669,0,5,5,-1,42.65,1.79,1381
2026-09-09,1316,上曜,其他,其他,False,656,0,0,0,0,11.2,3.7,3458
2026-09-09,2351,順德,被動元件,半導體,False,576,-16,87,21,162,237.5,4.4,5065
2026-09-09,2820,華票,其他,其他,False,668,0,26,0,0,16.95,-0.29,1650
2026-09-09,4919,新唐,其他,其他,False,632,0,15,28,8,119.0,0.85,1860
2026-09-09,1514,亞力,其他,其他,False,484,141,2,12,4,103.5,1.47,1215
2026-09-09,4590,富田-創,其他,其他,False,616,0,0,2,0,93.4,4.83,1165
2026-09-09,2406,國碩,其他,其他,False,632,-14,5,1,0,27.35,1.67,2266
2026-09-09,0052,富邦科技,其他,其他,False,-1177,0,1942,818,2905,63.75,0.24,12013
2026-09-09,1708,東鹼,其他,其他,False,630,-10,2,14,-14,50.2,0.0,1388
2026-09-09,9958,世紀鋼,其他,其他,False,614,0,16,21,-13,91.7,1.78,1259
2026-09-09,2337,旺宏,記憶體,半導體,False,408,-29,100,72,280,126.5,0.4,33042
2026-09-09,1503,士電,其他,其他,False,548,-3,10,8,30,206.0,0.73,1065
2026-09-09,2605,新興,散裝航運,航運,False,219,1,154,134,205,36.95,1.23,14005
2026-09-09,6443,元晶,太陽能,綠能,False,550,0,0,0,0,23.95,-0.21,2628
2026-09-09,2033,佳大,其他,其他,False,542,0,0,0,0,27.3,7.27,1767
2026-09-09,2357,華碩,電腦品牌,電子製造,False,610,-65,32,31,6,979.0,1.14,1855
2026-09-09,2547,日勝生,其他,其他,False,511,25,0,0,0,10.05,0.9,1023
2026-09-09,9933,中鼎,其他,其他,False,575,44,88,0,1,40.15,2.69,1720
2026-09-09,4960,誠美材,其他,其他,False,525,0,0,0,0,20.85,0.97,1383
2026-09-09,2316,楠梓電,其他,其他,False,486,-7,2,13,43,161.0,1.9,1838
2026-09-09,6108,競國,其他,其他,False,521,0,8,0,0,23.35,4.94,2008
2026-09-09,1616,億泰,其他,其他,False,504,0,7,0,0,19.15,2.13,1886
2026-09-09,8105,凌巨,其他,其他,False,503,0,0,0,0,15.25,0.99,2079
2026-09-09,3024,憶聲,其他,其他,False,502,0,1,0,0,13.95,1.09,758
2026-09-09,2540,愛山林,其他,其他,False,508,0,10,0,0,49.1,1.87,693
2026-09-09,2836,高雄銀,其他,其他,False,541,0,49,0,0,12.35,0.82,1916
2026-09-09,4532,瑞智,其他,其他,False,490,-1,4,0,0,23.75,0.0,914
