date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-08-05,0050,元大台灣50,其他,其他,True,84036,9902,3138,21170,-6903,103.8,3.13,168906
2026-08-05,3231,緯創,伺服器,科技硬體,False,35613,5824,2557,3147,-2026,193.0,-1.03,206766
2026-08-05,2883,凱基金,金控,金融,True,39175,-1154,9,1341,-748,31.6,3.44,65464
2026-08-05,0056,元大高股息,其他,其他,True,15036,80,1,465,21640,51.45,1.68,59266
2026-08-05,2317,鴻海,電子製造,電子製造,False,36977,-1107,488,363,431,258.5,3.4,72633
2026-08-05,2301,光寶科,EMS,電子製造,False,29757,470,334,1484,-501,249.0,-1.19,90355
2026-08-05,0052,富邦科技,其他,其他,False,13122,1600,3017,3025,11610,60.65,3.41,40325
2026-08-05,2618,長榮航,航空,航運,False,23852,-133,6,1546,-1358,43.8,0.0,45129
2026-08-05,1605,華新,電線電纜,電機傳產,False,18179,2,8,227,523,34.85,3.26,38467
2026-08-05,2344,華邦電,IC設計,半導體,False,9363,9995,4481,1140,-263,169.0,7.64,232656
2026-08-05,2610,華航,航空,航運,False,13888,856,110,277,20,22.6,0.67,40607
2026-08-05,2891,中信金,金控,金融,False,15924,-979,0,1053,-837,66.0,1.85,33164
2026-08-05,2324,仁寶,EMS,電子製造,False,12931,-1,0,704,111,36.95,-0.14,48333
2026-08-05,2634,漢翔,其他,其他,False,9487,1,86,21,361,63.5,4.96,38862
2026-08-05,3037,欣興,PCB,PCB,False,8712,1817,394,1559,-69,969.0,4.87,44514
2026-08-05,1314,中石化,化工,石化原料,False,9661,0,119,0,0,7.84,2.48,46518
2026-08-05,2330,台積電,晶圓代工,半導體,False,12251,-1204,751,730,-674,2405.0,3.66,36782
2026-08-05,2353,宏碁,電腦品牌,電子製造,False,8737,111,6,719,-18,30.25,4.13,35392
2026-08-05,2408,南亞科,其他,其他,False,7255,3916,4392,707,-416,445.0,2.06,144425
2026-08-05,2313,華通,PCB,PCB,False,5671,-2,147,285,428,218.0,9.82,29232
2026-08-05,3706,神達,電腦周邊,電子製造,False,5747,243,27,160,-80,91.9,0.66,19462
2026-08-05,2002,中鋼,鋼鐵,金屬原料,False,5655,7,0,151,-41,18.9,0.27,18036
2026-08-05,4938,和碩,EMS,電子製造,False,5508,44,65,281,-61,89.5,1.24,14584
2026-08-05,2388,威盛,其他,其他,False,5360,-100,357,235,159,83.0,3.36,13127
2026-08-05,2890,永豐金,金控,金融,False,6692,-217,47,1319,-1319,39.55,-0.13,20888
2026-08-05,3605,宏致,其他,其他,False,4967,0,15,362,77,101.5,9.61,23451
2026-08-05,2376,技嘉,主機板,科技硬體,False,4976,31,125,128,17,342.0,3.01,10360
2026-08-05,2887,台新新光金,金控,金融,False,5982,-20,6,1353,-1156,35.7,0.42,36200
2026-08-05,3006,晶豪科,IC設計,半導體,False,4290,0,21,190,143,239.0,9.89,12064
2026-08-05,2881,富邦金,金控,金融,False,5205,-749,2,148,-139,129.5,0.78,15360
2026-08-05,3189,景碩,PCB,PCB,False,3198,931,652,846,-45,828.0,7.95,33103
2026-08-05,2027,大成鋼,特殊鋼,金屬原料,False,3480,811,71,323,-64,44.35,0.23,14191
2026-08-05,1717,長興,化工,石化原料,False,3293,363,24,32,242,66.5,4.56,10614
2026-08-05,2204,中華,其他,其他,False,4537,-663,0,27,0,51.5,1.78,6729
2026-08-05,8112,至上,通路,通路,False,4745,-632,509,253,67,86.2,1.17,15378
2026-08-05,2377,微星,其他,其他,False,2987,-11,50,366,218,151.0,1.0,19359
2026-08-05,6213,聯茂,PCB,PCB,False,2727,0,367,213,35,341.0,10.0,26865
2026-08-05,5388,中磊,其他,其他,False,2834,-2,30,80,34,91.6,2.69,5001
2026-08-05,1504,東元,電機,電機傳產,False,2862,-5,0,74,-29,66.5,1.68,7027
2026-08-05,2359,所羅門,其他,其他,False,2374,0,1,62,138,145.0,9.85,8315
2026-08-05,2882,國泰金,金控,金融,False,3166,-631,4,254,-121,100.5,1.31,13772
2026-08-05,1402,遠東新,紡織,傳統產業,False,2975,10,926,134,192,26.7,-1.66,21225
2026-08-05,3034,聯詠,IC設計,半導體,False,2746,-399,67,282,-87,550.0,4.96,7764
2026-08-05,3704,合勤控,其他,其他,False,2314,0,22,0,0,48.8,6.32,4306
2026-08-05,2605,新興,散裝航運,航運,False,2199,0,8,15,40,32.0,2.4,5060
2026-08-05,2369,菱生,封測,半導體,False,2223,0,4,73,13,33.7,1.51,12007
2026-08-05,2606,裕民,散裝航運,航運,False,2109,0,17,13,33,64.5,1.74,3456
2026-08-05,1216,統一,食品,傳統產業,False,2717,-64,69,528,-486,73.2,-0.95,17477
2026-08-05,6206,飛捷,其他,其他,False,1955,-1,1,116,57,148.0,5.71,7373
2026-08-05,1101,台泥,水泥,傳統產業,False,1622,4,8,133,62,24.05,2.12,20385
2026-08-05,6269,台郡,其他,其他,False,1639,0,41,18,344,61.7,9.98,6285
2026-08-05,2392,正崴,其他,其他,False,1845,0,30,8,65,37.0,6.17,3089
2026-08-05,2357,華碩,電腦品牌,電子製造,False,1976,-80,47,268,-50,838.0,3.97,5273
2026-08-05,2371,大同,電機,電機傳產,False,1857,2,15,61,-12,25.5,0.99,6664
2026-08-05,2393,億光,其他,其他,False,1574,168,4,29,20,60.7,5.57,3592
2026-08-05,4904,遠傳,電信,電信,False,1683,229,0,247,-246,101.0,0.0,8077
2026-08-05,6116,彩晶,其他,其他,False,1548,0,38,182,69,14.2,9.65,36172
2026-08-05,8039,台虹,其他,其他,False,1134,29,15,34,122,220.0,10.0,7676
2026-08-05,2454,聯發科,IC設計,半導體,False,1846,-11,171,367,-107,4000.0,3.49,12935
2026-08-05,2498,宏達電,其他,其他,False,1492,0,28,22,84,40.45,0.87,5690
2026-08-05,6919,康霈*,其他,其他,False,1599,0,0,15,10,108.5,0.46,4434
2026-08-05,2340,台亞,其他,其他,False,1238,0,30,20,93,33.35,5.21,6546
2026-08-05,4967,十銓,其他,其他,False,1336,0,0,24,60,265.5,3.51,8583
2026-08-05,3042,晶技,其他,其他,False,1201,0,172,351,241,177.0,4.42,23363
2026-08-05,3017,奇鋐,散熱,科技硬體,False,794,524,63,417,-4,2730.0,5.0,5823
2026-08-05,1312,國喬,石化,石化原料,False,1521,0,211,9,23,12.1,4.31,7040
2026-08-05,9914,美利達,其他,其他,False,1253,0,22,1,27,78.3,2.76,3111
2026-08-05,2421,建準,其他,其他,False,1245,0,11,18,35,140.5,3.69,2471
2026-08-05,2637,慧洋-KY,散裝航運,航運,False,1387,-8,41,106,-82,85.4,1.79,3671
2026-08-05,2912,統一超,其他,其他,False,1279,-14,0,10,-9,221.5,0.0,3383
2026-08-05,1536,和大,其他,其他,False,1230,0,10,14,10,51.6,2.79,2401
2026-08-05,1326,台化,石化,石化原料,False,1384,0,574,456,-217,58.6,0.69,25180
2026-08-05,2412,中華電,電信,電信,False,1089,-1,27,41,73,137.0,0.37,11911
2026-08-05,3019,亞光,其他,其他,False,1216,0,0,24,0,134.0,2.29,2832
2026-08-05,2464,盟立,其他,其他,False,1169,0,129,153,52,170.0,4.94,16112
2026-08-05,2885,元大金,金控,金融,False,513,1361,0,706,-677,69.4,0.58,16914
2026-08-05,2009,第一銅,其他,其他,False,1136,0,0,4,53,38.45,2.4,2614
2026-08-05,1310,台苯,其他,其他,False,1180,0,5,0,0,8.17,9.96,7230
2026-08-05,6202,盛群,其他,其他,False,1057,30,0,13,70,60.1,3.44,5238
2026-08-05,2425,承啟,其他,其他,False,1158,0,10,0,0,49.1,-2.19,9307
2026-08-05,3576,聯合再生,太陽能,綠能,False,1180,0,29,0,0,18.25,9.94,20856
2026-08-05,3035,智原,其他,其他,False,1016,0,5,42,100,171.5,3.31,5535
2026-08-05,2646,星宇航空,其他,其他,False,1144,0,0,21,-6,21.3,0.71,3681
2026-08-05,2374,佳能,散熱,科技硬體,False,1062,0,0,1,67,69.3,2.82,3202
2026-08-05,2539,櫻花建,其他,其他,False,1108,0,1,0,0,43.35,5.35,1874
2026-08-05,1608,華榮,其他,其他,False,1643,0,398,226,-154,33.4,-2.48,22414
2026-08-05,2855,統一證,其他,其他,False,1139,-47,0,0,0,45.85,2.46,4435
2026-08-05,2363,矽統,其他,其他,False,263,0,1,44,823,52.7,2.53,7093
2026-08-05,2465,麗臺,其他,其他,False,1077,0,18,0,0,85.8,10.0,3001
2026-08-05,1301,台塑,石化,石化原料,False,1009,-97,320,282,-120,56.0,1.27,21040
2026-08-05,2049,上銀,其他,其他,False,843,0,41,295,155,365.0,9.94,7751
2026-08-05,1513,中興電,其他,其他,False,1000,-4,0,62,-25,161.0,1.26,2416
2026-08-05,6168,宏齊,其他,其他,False,971,0,1,3,0,25.2,2.86,3455
