date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-09-08,2344,華邦電,IC設計,半導體,False,92597,3923,1166,655,727,188.0,4.44,222260
2026-09-08,2409,友達,面板,顯示面板,False,85222,-27,7786,4576,8494,29.6,3.14,623892
2026-09-08,2408,南亞科,其他,其他,False,34279,141,1075,139,97,531.0,2.71,76221
2026-09-08,2834,臺企銀,其他,其他,False,26847,-44,114,0,58,17.7,2.91,64877
2026-09-08,2887,台新新光金,金控,金融,False,3169,15113,1026,876,184,42.8,4.14,67844
2026-09-08,2884,玉山金,金控,金融,False,4935,11385,496,379,170,45.55,4.59,66912
2026-09-08,2892,第一金,金控,金融,False,16065,-1250,132,91,53,37.85,1.47,28543
2026-09-08,0050,元大台灣50,其他,其他,True,20896,37,887,9596,-7720,109.65,-0.23,75243
2026-09-08,2886,兆豐金,金控,金融,False,13421,-623,346,165,-71,50.6,0.8,24420
2026-09-08,5876,上海商銀,金控,金融,False,11795,340,70,72,-48,48.75,3.83,19081
2026-09-08,2610,華航,航空,航運,False,8979,171,322,288,-119,20.6,0.73,15148
2026-09-08,2027,大成鋼,特殊鋼,金屬原料,False,8156,0,169,32,102,49.35,0.51,12192
2026-09-08,5880,合庫金,金控,金融,False,8125,-255,148,68,74,26.85,1.32,20999
2026-09-08,2337,旺宏,記憶體,半導體,False,7861,-38,432,218,8,126.0,1.2,58876
2026-09-08,2801,彰銀,金控,金融,False,-1163,8441,234,12,47,27.25,2.83,35457
2026-09-08,2890,永豐金,金控,金融,False,8553,-1555,150,81,41,43.45,2.0,30010
2026-09-08,2330,台積電,晶圓代工,半導體,False,5496,1048,318,486,-145,2470.0,0.41,28931
2026-09-08,1216,統一,食品,傳統產業,False,6184,-9,73,36,-18,76.7,1.99,12646
2026-09-08,1605,華新,電線電纜,電機傳產,False,5933,30,51,49,98,38.1,0.53,14978
2026-09-08,2891,中信金,金控,金融,False,856,5278,777,408,-28,68.2,1.19,28102
2026-09-08,2002,中鋼,鋼鐵,金屬原料,False,5946,42,161,14,12,19.1,0.53,20868
2026-09-08,6116,彩晶,其他,其他,False,5588,0,55,91,226,14.3,0.7,24707
2026-09-08,0052,富邦科技,其他,其他,False,3758,-100,801,7076,558,63.6,-0.24,22549
2026-09-08,2412,中華電,電信,電信,False,5816,-604,71,21,-21,139.0,0.72,11188
2026-09-08,2889,國票金,金控,金融,False,5003,0,42,35,-35,16.6,0.91,12640
2026-09-08,2880,華南金,金控,金融,False,5178,-245,131,125,-94,45.15,1.8,13254
2026-09-08,2885,元大金,金控,金融,False,4780,-274,79,75,-51,70.6,0.57,15507
2026-09-08,3167,大量,其他,其他,False,4047,500,240,94,-88,938.0,6.23,16040
2026-09-08,5871,中租-KY,其他,其他,False,4277,29,20,29,-3,115.0,2.22,9698
2026-09-08,2812,台中銀,其他,其他,False,4218,-20,70,35,28,19.4,0.78,10612
