date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-09-15,2891,中信金,金控,金融,False,13796,2998,193,1028,-422,69.7,2.35,59318
2026-09-15,2412,中華電,電信,電信,False,11835,-33,30,3,42,143.5,0.7,16914
2026-09-15,6226,光鼎,其他,其他,False,4727,0,277,0,0,36.3,10.0,81114
2026-09-15,2887,台新新光金,金控,金融,False,-429,3580,335,903,-1,43.4,-0.34,43388
2026-09-15,2880,華南金,金控,金融,False,3528,-627,0,161,307,46.9,1.3,15252
2026-09-15,2609,陽明,貨櫃航運,航運,False,2547,86,28,271,-203,58.8,-0.84,22032
2026-09-15,3045,台灣大,電信,電信,False,2396,-46,257,35,0,124.0,2.06,10604
2026-09-15,3042,晶技,其他,其他,False,1992,55,136,151,90,181.0,1.69,8407
2026-09-15,2354,鴻準,其他,其他,False,2185,65,2,226,-213,64.6,-0.15,6936
2026-09-15,5876,上海商銀,金控,金融,False,1222,647,132,73,51,49.8,-0.2,5628
2026-09-15,2049,上銀,其他,其他,False,1641,23,29,65,109,329.0,1.7,5290
2026-09-15,9945,潤泰新,其他,其他,False,1607,26,15,3,34,27.95,0.36,3583
2026-09-15,9904,寶成,其他,其他,False,1381,188,94,46,-17,24.25,0.83,6567
2026-09-15,2820,華票,其他,其他,False,1383,0,0,0,0,17.35,-0.29,2974
2026-09-15,2441,超豐,其他,其他,False,1199,73,34,89,18,115.0,0.88,6099
2026-09-15,9933,中鼎,其他,其他,False,1371,-89,84,0,0,41.9,1.7,3421
2026-09-15,3406,玉晶光,其他,其他,False,694,395,170,73,38,915.0,-4.09,9449
2026-09-15,4904,遠傳,電信,電信,False,1246,-137,4,28,29,106.5,0.47,4578
2026-09-15,2371,大同,電機,電機傳產,False,1101,0,6,42,24,28.1,1.63,7713
2026-09-15,3189,景碩,PCB,PCB,False,539,695,115,93,-29,795.0,-0.38,7509
2026-09-15,2308,台達電,電源管理,科技硬體,False,1846,-964,93,55,99,1670.0,3.09,14802
2026-09-15,2382,廣達,伺服器,科技硬體,False,522,432,52,57,22,333.0,0.15,7988
2026-09-15,6214,精誠,其他,其他,False,1020,44,1,108,-99,190.0,1.33,3389
2026-09-15,6108,競國,其他,其他,False,980,0,0,0,0,22.4,1.13,2680
2026-09-15,2395,研華,工業電腦,科技硬體,False,881,-10,10,83,27,685.0,2.24,3502
2026-09-15,1102,亞泥,水泥,傳統產業,False,710,230,54,154,-103,35.2,0.57,5120
2026-09-15,6139,亞翔,其他,其他,False,814,-11,5,25,36,713.0,1.42,2055
2026-09-15,8046,南電,IC設計,半導體,False,520,153,11,141,59,1085.0,2.84,7742
2026-09-15,3229,晟鈦,其他,其他,False,769,0,0,0,0,60.3,-9.87,7363
2026-09-15,2615,萬海,貨櫃航運,航運,False,920,-48,99,179,-148,112.0,-0.88,8078
2026-09-15,6213,聯茂,PCB,PCB,False,733,119,126,124,-64,519.0,0.78,11540
2026-09-15,3702,大聯大,其他,其他,False,906,-154,124,109,-39,107.0,0.0,4409
2026-09-15,2351,順德,被動元件,半導體,False,730,8,3,170,-147,251.5,-2.14,12699
2026-09-15,6672,騰輝電子-KY,其他,其他,False,500,90,0,54,-3,291.0,-1.19,4204
2026-09-15,4915,致伸,其他,其他,False,169,807,110,311,-286,65.6,1.55,8267
2026-09-15,9921,巨大,其他,其他,False,540,-8,6,0,1,91.1,1.56,1449
2026-09-15,6271,同欣電,其他,其他,False,483,0,72,69,0,221.0,0.45,6201
2026-09-15,2385,群光,其他,其他,False,413,75,16,20,-14,105.5,0.0,1455
2026-09-15,2492,華新科,被動元件,半導體,False,1482,-1523,42,173,382,300.0,-1.8,21610
2026-09-15,2484,希華,其他,其他,False,467,0,2,0,2,68.0,1.19,4704
2026-09-15,4977,眾達-KY,光學,科技硬體,False,512,0,0,72,-71,160.5,-3.89,2090
2026-09-15,3017,奇鋐,散熱,科技硬體,False,500,-46,42,77,-11,3115.0,-5.89,3217
2026-09-15,3029,零壹,其他,其他,False,431,0,13,5,-5,118.5,1.72,7857
2026-09-15,2905,三商,其他,其他,False,302,0,0,0,0,18.85,1.89,2369
2026-09-15,4576,大銀微系統,其他,其他,False,332,0,29,15,57,230.5,1.1,1857
2026-09-15,2329,華泰,IC設計,半導體,False,358,0,24,42,-22,41.45,-0.72,1213
2026-09-15,6224,聚鼎,其他,其他,False,267,0,4,0,0,86.0,1.18,1348
2026-09-15,2034,允強,其他,其他,False,293,0,2,3,-2,20.45,0.74,1226
2026-09-15,9910,豐泰,其他,其他,False,198,112,25,0,8,68.4,0.88,821
2026-09-15,6994,富威電力,其他,其他,False,462,0,138,0,0,26.1,-6.79,1892
2026-09-15,6442,光聖,其他,其他,False,592,-245,85,27,-21,1510.0,-5.03,2407
2026-09-15,2404,漢唐,其他,其他,False,312,-27,4,42,18,1035.0,1.97,965
2026-09-15,1319,東陽,其他,其他,False,309,-13,10,7,-3,79.0,0.89,950
