date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-09-22,2409,友達,面板,顯示面板,False,245313,-42,1554,5526,3397,36.65,9.9,1162430
2026-09-22,2303,聯電,IC設計,半導體,False,50545,7857,1335,859,740,160.0,1.91,286598
2026-09-22,3481,群創,面板,顯示面板,False,24829,-44,4681,1986,1700,50.5,0.2,502870
2026-09-22,2449,京元電子,封測,半導體,False,16162,2979,1044,535,629,317.0,5.14,72526
2026-09-22,1101,台泥,水泥,傳統產業,False,14828,-31,21,219,501,24.55,1.66,29414
2026-09-22,8150,南茂,封測,半導體,False,9867,0,372,649,791,105.5,2.43,130239
2026-09-22,6168,宏齊,其他,其他,False,11576,0,0,114,-55,44.0,3.04,68487
2026-09-22,4958,臻鼎-KY,PCB,PCB,False,9732,1129,223,497,356,489.0,4.04,45198
2026-09-22,3711,日月光投控,封測,半導體,False,8479,1163,131,553,427,693.0,4.52,24987
2026-09-22,2618,長榮航,航空,航運,False,6621,3993,71,5,161,42.5,1.31,18311
2026-09-22,2610,華航,航空,航運,False,5252,5133,0,9,26,20.5,1.23,20154
2026-09-22,3189,景碩,PCB,PCB,False,9136,179,65,830,730,909.0,9.92,29109
2026-09-22,6116,彩晶,其他,其他,False,8390,0,585,724,1578,15.45,4.39,236177
2026-09-22,0050,元大台灣50,其他,其他,True,7840,487,1833,7926,1294,111.85,0.45,84309
2026-09-22,6770,力積電,晶圓代工,半導體,False,8722,-26,421,364,59,71.8,-1.24,95975
2026-09-22,2892,第一金,金控,金融,False,9026,171,0,72,79,39.9,0.38,19900
2026-09-22,2327,國巨*,被動元件,半導體,False,7871,185,145,143,267,571.0,2.51,42736
2026-09-22,2886,兆豐金,金控,金融,False,12736,-4781,43,57,463,50.5,-1.17,21285
2026-09-22,2317,鴻海,電子製造,電子製造,False,6811,-18,80,444,477,253.0,1.2,38635
2026-09-22,3016,嘉晶,其他,其他,False,6315,0,90,699,-80,132.5,9.96,30369
2026-09-22,0052,富邦科技,其他,其他,False,2257,0,855,449,3584,64.75,0.31,16648
