date,code,name,industry,sector,is_etf,foreign_net,trust_net,dealer_net,dealer_hedge,inst_total,price,change_pct,volume_k
2026-09-01,0050,元大台灣50,其他,其他,True,39055,0,494,1502,31003,108.45,2.07,111066
2026-09-01,1326,台化,石化,石化原料,False,44300,99,847,1320,-274,74.3,8.78,119283
2026-09-01,2887,台新新光金,金控,金融,False,24546,7383,1075,1370,-158,40.3,4.54,89499
2026-09-01,1101,台泥,水泥,傳統產業,False,22642,-1,139,74,900,25.3,3.69,108834
2026-09-01,2883,凱基金,金控,金融,True,18961,919,343,436,-67,34.95,3.25,63652
2026-09-01,8150,南茂,封測,半導體,False,17373,-4,167,166,475,93.2,4.6,49570
2026-09-01,1301,台塑,石化,石化原料,False,15600,-1032,398,380,2164,67.8,2.42,69471
2026-09-01,2892,第一金,金控,金融,False,15290,945,376,127,88,35.9,1.7,37065
2026-09-01,0052,富邦科技,其他,其他,False,10545,0,505,636,5225,63.05,1.94,23461
2026-09-01,2317,鴻海,電子製造,電子製造,False,13474,698,214,78,544,256.0,2.4,34131
2026-09-01,2886,兆豐金,金控,金融,False,16176,-1567,381,497,-453,48.5,-0.1,30744
2026-09-01,4958,臻鼎-KY,PCB,PCB,False,7339,5692,577,1304,154,535.0,7.0,71767
2026-09-01,1717,長興,化工,石化原料,False,10852,300,262,301,600,84.7,2.67,52664
2026-09-01,2812,台中銀,其他,其他,False,15177,-2828,190,100,-100,19.1,0.26,23179
2026-09-01,2891,中信金,金控,金融,False,4170,7811,433,366,-291,66.5,2.78,39727
2026-09-01,3706,神達,電腦周邊,電子製造,False,9739,163,33,27,626,95.7,3.46,27970
2026-09-01,2449,京元電子,封測,半導體,False,5110,3123,379,458,761,279.0,8.56,53349
2026-09-01,2354,鴻準,其他,其他,False,7957,21,14,77,588,65.9,1.85,24380
2026-09-01,2897,王道銀行,金控,金融,False,7468,1252,57,0,0,10.6,2.42,14531
2026-09-01,5876,上海商銀,金控,金融,False,7229,1264,55,186,-182,44.5,3.73,15575
