date,market_pe
20241129,37.27
20241231,52.62
20250227,36.95
20250331,28.43
20250430,38.94
20250529,21.07
20250630,24.5
20250731,37.05
20250829,54.01
20250930,37.25
20251031,45.79
20251128,39.15
20251231,38.62
20260130,51.07
20260226,50.24
20260331,54.5
20260430,66.04
20260529,63.28
20260630,87.22
20260731,47.3
20260804,55.94
